DS,GN,GN Number,Both sexes,Male,Female
Colombo,Sammanthranapura,,"7,829","4,017","3,812"
Colombo,Mattakkuliya,,"28,003","14,029","13,974"
Colombo,Modara,,"17,757","8,794","8,963"
Colombo,Madampitiya,,"12,970","6,505","6,465"
Colombo,Mahawatta,,"8,809","4,367","4,442"
Colombo,Aluthmawatha,,"13,625","6,602","7,023"
Colombo,Lunupokuna,,"12,423","6,352","6,071"
Colombo,Bloemendhal,,"13,802","6,740","7,062"
Colombo,Kotahena East,,"6,385","3,024","3,361"
Colombo,Kotahena West,,"9,409","4,617","4,792"
Colombo,Kochchikade North,,"9,339","5,005","4,334"
Colombo,Jinthupitiya,,"8,110","3,901","4,209"
Colombo,Masangasweediya,,"8,516","4,303","4,213"
Colombo,New Bazaar,,"13,436","6,753","6,683"
Colombo,Grandpass South,,"17,588","8,739","8,849"
Colombo,Grandpass North,,"8,904","4,433","4,471"
Colombo,Nawagampura,,"6,821","3,459","3,362"
Colombo,Maligawatta East,,"11,524","5,774","5,750"
Colombo,Khettarama,,"13,683","6,907","6,776"
Colombo,Aluthkade East,,"10,053","4,987","5,066"
Colombo,Aluthkade West,,"7,517","3,914","3,603"
Colombo,Kochchikade South,,"7,746","4,062","3,684"
Colombo,Pettah,,"1,924","1,854",70
Colombo,Fort,,"1,473","1,065",408
Colombo,Galle Face,,"3,789","1,880","1,909"
Colombo,Slave Island,,"3,795","1,868","1,927"
Colombo,Hunupitiya,,"6,883","3,335","3,548"
Colombo,Suduwella,,"3,915","2,007","1,908"
Colombo,Keselwatta,,"7,221","3,637","3,584"
Colombo,Panchikawatta,,"8,467","4,195","4,272"
Colombo,Maligawatta West,,"8,968","4,363","4,605"
Colombo,Maligakanda,,"8,526","4,530","3,996"
Colombo,Maradana,,"4,591","2,424","2,167"
Colombo,Ibbanwala,,"2,617","1,027","1,590"
Colombo,Wekanda,,"6,839","3,329","3,510"
Kolonnawa,Wadulla,509D,"7,606","3,783","3,823"
Kolonnawa,Sedawatta,509A,"6,934","3,501","3,433"
Kolonnawa,Halmulla ,509C,"2,308","1,144","1,164"
Kolonnawa,Kotuvila,509,"5,083","2,509","2,574"
Kolonnawa,Veheragoda,509B,"2,119",986,"1,133"
Kolonnawa,Orugodawatta,510A,"5,900","3,017","2,883"
Kolonnawa,Meethotamulla,510,"8,432","4,236","4,196"
Kolonnawa,Welewatta,508A,"4,671","2,374","2,297"
Kolonnawa,Kittampahuwa,508,"5,761","2,884","2,877"
Kolonnawa,Wennawatta,507,"7,611","3,676","3,935"
Kolonnawa,Maha Buthgamuwa B,506C,"3,703","1,787","1,916"
Kolonnawa,Kuda Buthgamuwa,506A,"4,649","2,242","2,407"
Kolonnawa,Kelanimulla,504,"4,040","1,976","2,064"
Kolonnawa,Ambathale,501A,"2,767","1,421","1,346"
Kolonnawa,Mulleriyawa North,501,"4,439","2,255","2,184"
Kolonnawa,Belagama,504A,"3,283","1,601","1,682"
Kolonnawa,Kotikawatta East,505,"3,535","1,711","1,824"
Kolonnawa,Maha Buthgamuwa A,506,"3,349","1,633","1,716"
Kolonnawa,Maha Buthgamuwa C,506D,"4,103","2,016","2,087"
Kolonnawa,Wellampitiya,511,"2,244","1,131","1,113"
Kolonnawa,Kuruniyawatta,510B,"3,603","1,767","1,836"
Kolonnawa,Kolonnawa,512,"2,342","1,170","1,172"
Kolonnawa,Dahampura,511A,"5,867","2,867","3,000"
Kolonnawa,Singhapura,512B,"4,078","1,982","2,096"
Kolonnawa,Megoda Kolonnawa,513A,"10,149","4,975","5,174"
Kolonnawa,Bopetta,513D,"3,221","1,564","1,657"
Kolonnawa,Batalandahena,506B,"4,715","2,296","2,419"
Kolonnawa,Kotikawatta West,505C,"2,946","1,401","1,545"
Kolonnawa,Mulleriyawa South,503A,"4,935","2,382","2,553"
Kolonnawa,Malgama,503C,"5,096","2,467","2,629"
Kolonnawa,Udumulla North,502,"2,643","1,325","1,318"
Kolonnawa,Maligagodella,502B,"2,083",973,"1,110"
Kolonnawa,Rajasinghagama,502C,"6,442","2,908","3,534"
Kolonnawa,Udumulla South,502A,"2,408","1,148","1,260"
Kolonnawa,Himbutana East,503B,"3,879","1,902","1,977"
Kolonnawa,Himbutana West,503,"3,344","1,649","1,695"
Kolonnawa,Malpura,505A,"4,044","2,080","1,964"
Kolonnawa,Gothatuwa New Town,505B,"1,944",939,"1,005"
Kolonnawa,Kajugahawatta,513C,"2,567","1,244","1,323"
Kolonnawa,Gothatuwa,513,"2,580","1,241","1,339"
Kolonnawa,Salamulla,512A,"5,213","2,494","2,719"
Kolonnawa,Wijayapura,512D,"3,173","1,536","1,637"
Kolonnawa,Gajabapura,512C,"2,533","1,243","1,290"
Kolonnawa,Madinnagoda,513B,"3,761","1,941","1,820"
Kolonnawa,Elhena,513E,"2,181","1,097","1,084"
Kolonnawa,Dodamgahahena,505D,"3,403","1,651","1,752"
Kaduwela,Welivita,475,"4,997","2,405","2,592"
Kaduwela,Raggahawatta,474A,"4,030","1,930","2,100"
Kaduwela,Hewagama,474,"4,165","2,064","2,101"
Kaduwela,Kaduwela,473A,"4,342","2,261","2,081"
Kaduwela,Pahala Bomiriya,472A,"4,224","2,103","2,121"
Kaduwela,Ihala Bomiriya,471,"4,261","2,041","2,220"
Kaduwela,Wekewatta,471A,"3,863","1,898","1,965"
Kaduwela,Nawagamuwa,470,"5,530","2,748","2,782"
Kaduwela,Pahala Bomiriya B,472B,"4,878","2,456","2,422"
Kaduwela,Welihinda,488A,"2,099","1,043","1,056"
