DS,GN,GN Number,Both sexes,Male,Female,Latitude,Longitude
Colombo,Sammanthranapura,,7829,4017,3812,6.9789432,79.8779834
Colombo,Mattakkuliya,,28003,14029,13974,6.9716722,79.8786833
Colombo,Modara,,17757,8794,8963,6.9669247,79.8711533
Colombo,Madampitiya,,12970,6505,6465,6.9616629,79.8751836
Colombo,Mahawatta,,8809,4367,4442,6.9583068,79.8730837
Colombo,Aluthmawatha,,13625,6602,7023,6.9634238,79.8646835
Colombo,Lunupokuna,,12423,6352,6071,6.9553573,79.859083
Colombo,Bloemendhal,,13802,6740,7062,6.9529494,79.8702837
Colombo,Kotahena East,,6385,3024,3361,6.9475325,79.8646835
Colombo,Kotahena West,,9409,4617,4792,6.9480592,79.8583829
Colombo,Kochchikade North,,9339,5005,4334,6.9446438,79.8534821
Colombo,Jinthupitiya,,8110,3901,4209,6.9454412,79.8597831
Colombo,Masangasweediya,,8516,4303,4213,6.9415292,79.8625834
Colombo,New Bazaar,,13436,6753,6683,6.9396483,79.8674837
Colombo,Grandpass South,,17588,8739,8849,6.9417693,79.8737836
Colombo,Grandpass North,,8904,4433,4471,6.9470657,79.8737836
Colombo,Nawagampura,,6821,3459,3362,6.9461401,79.8769335
Colombo,Maligawatta East,,11524,5774,5750,6.9345325,79.8758835
Colombo,Khettarama,,13683,6907,6776,6.9363835,79.8695837
Colombo,Aluthkade East,,10053,4987,5066,6.9362635,79.8639835
Colombo,Aluthkade West,,7517,3914,3603,6.9371739,79.8601331
Colombo,Kochchikade South,,7746,4062,3684,6.9400851,79.8569827
Colombo,Pettah,,1924,1854,70,6.9367858,79.8525385
Colombo,Fort,,1473,1065,408,6.9360701,79.8450497
Colombo,Galle Face,,3789,1880,1909,6.9285775,79.84508
Colombo,Slave Island,,3795,1868,1927,6.9257119,79.8503314
Colombo,Hunupitiya,,6883,3335,3548,6.923523,79.8562826
Colombo,Suduwella,,3915,2007,1908,6.9236429,79.8618833
Colombo,Suduwella,,3915,2007,1908,6.9224264,80.1177335
Seethawaka,Suduwella,436A,3559,1751,1808,6.9236429,79.8618833
Seethawaka,Suduwella,436A,3559,1751,1808,6.9224264,80.1177335
Colombo,Keselwatta,,7221,3637,3584,6.9335258,79.8597831
Colombo,Panchikawatta,,8467,4195,4272,6.9309682,79.8639835
Colombo,Maligawatta West,,8968,4363,4605,6.9324119,79.8695837
Colombo,Maligakanda,,8526,4530,3996,6.9284106,79.8681837
Colombo,Maradana,,4591,2424,2167,6.9224091,79.8660836
Colombo,Ibbanwala,,2617,1027,1590,6.917642,79.8597831
Colombo,Wekanda,,6839,3329,3510,6.9206384,79.8514032
Kolonnawa,Wadulla,509D,7606,3783,3823,6.9342148,79.8919811
Kolonnawa,Sedawatta,509A,6934,3501,3433,6.9538969,79.8835827
Kolonnawa,Halmulla ,509C,2308,1144,1164,6.9534897,79.8954802
Kolonnawa,Kotuvila,509,5083,2509,2574,6.9481326,79.8926809
Kolonnawa,Veheragoda,509B,2119,986,1133,6.9486598,79.8863823
Kolonnawa,Orugodawatta,510A,5900,3017,2883,6.9342148,79.8919811
Kolonnawa,Meethotamulla,510,8432,4236,4196,6.9347122,79.8842826
Kolonnawa,Welewatta,508A,4671,2374,2297,6.9428359,79.8926809
Kolonnawa,Kittampahuwa,508,5761,2884,2877,6.9436626,79.9003786
Kolonnawa,Wennawatta,507,7611,3676,3935,6.9342148,79.8919811
Kolonnawa,Maha Buthgamuwa B,506C,3703,1787,1916,6.9458433,79.9094751
Kolonnawa,Kuda Buthgamuwa,506A,4649,2242,2407,6.9383682,79.9174414
