GN,GN Latitude,GN Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Himbutana West,6.9224875,79.9318623,Koswatta Junction,6.916577172000225,79.92444332915136,Road
Malpura,6.9256038,79.9227682,Koswatta Junction,6.916577172000225,79.92444332915136,Road
Thalangama North B,6.907018,79.9514464,Thalahena Junction,6.90813517223685,79.94500718649789,Road
Thalahena South,6.9122534,79.9486489,Thalahena Junction,6.90813517223685,79.94500718649789,Road
Muttettugoda,6.9068404,79.9430537,Thalahena Junction,6.90813517223685,79.94500718649789,Road
Thalangama North A,6.9168782,79.9317302,Koswatta Junction,6.916577172000225,79.92444332915136,Road
Walpola,6.918308,79.9220686,Koswatta Junction,6.916577172000225,79.92444332915136,Road
Kalapaluwawa,6.9141883,79.9150724,Koswatta Junction,6.916577172000225,79.92444332915136,Road
Kotuwegoda,6.9113627,79.9066763,Ethulkotte Junction,6.90442216085428,79.90565129541184,Road
Subhoothipura,6.9062472,79.9150724,Ethulkotte Junction,6.90442216085428,79.90565129541184,Road
Udumulla,6.9083957,79.9227682,Koswatta Junction,6.916577172000225,79.92444332915136,Road
Udumulla,6.9083957,79.9227682,Koswatta Junction,6.916577172000225,79.92444332915136,Road
Batapotha,6.901428,79.9374582,Thalahena Junction,6.90813517223685,79.94500718649789,Road
Pothuarawa,6.897724,79.9500477,Thalahena Junction,6.90813517223685,79.94500718649789,Road
Rajamalwatta,6.9009536,79.9150724,Ethulkotte Junction,6.90442216085428,79.90565129541184,Road
Maharagama Town,6.8510951,79.9212011,De Kottan Gaha Sajje,6.847964827782562,79.91204147595211,Road
Wattegedara,6.8478743,79.9177543,De Kottan Gaha Sajje,6.847964827782562,79.91204147595211,Road
Navinna,6.8533309,79.9150724,De Kottan Gaha Sajje,6.847964827782562,79.91204147595211,Road
Wijerama,6.8551817,79.9087754,De Kottan Gaha Sajje,6.847964827782562,79.91204147595211,Road
Jambugasmulla,6.8660827,79.8926809,Nugegoda Flyover,6.869220567244474,79.88926100757718,Road
Jambugasmulla,6.8660827,79.8926809,Nugegoda Highlevel Junction,6.86888179655813,79.88864316842813,Road
Ethulkotte West,6.8980694,79.9038774,Ethulkotte Junction,6.90442216085428,79.90565129541184,Road
Ethulkotte,6.8981882,79.9094751,Ethulkotte Junction,6.90442216085428,79.90565129541184,Road
Nugegoda,6.8746946,79.8933807,Nugegoda Flyover,6.869220567244474,79.88926100757718,Road
Nugegoda,6.8746946,79.8933807,Nugegoda Highlevel Junction,6.86888179655813,79.88864316842813,Road
Gangodavila North,6.8662011,79.8982793,Nugegoda Flyover,6.869220567244474,79.88926100757718,Road
Gangodavila North,6.8662011,79.8982793,Nugegoda Highlevel Junction,6.86888179655813,79.88864316842813,Road
Wellawatta South,6.8654301,79.8618833,Marine Drive - Atlas Bridge,6.862498,79.859963,Road
Dutugemunu,6.8684907,79.881483,Nugegoda Flyover,6.869220567244474,79.88926100757718,Road
Dutugemunu,6.8684907,79.881483,Nugegoda Highlevel Junction,6.86888179655813,79.88864316842813,Road
Kohuwala,6.8624842,79.8854983,Nugegoda Flyover,6.869220567244474,79.88926100757718,Road
Kohuwala,6.8624842,79.8854983,Nugegoda Highlevel Junction,6.86888179655813,79.88864316842813,Road
Dehiwala West,6.857496,79.8618833,Marine Drive - Atlas Bridge,6.862498,79.859963,Road
